simulation_id,mass1,mass2,spin1x,spin1y,spin1z,spin2x,spin2y,spin2z,distance,inclination,coa_phase,polarization,longitude,latitude,geocent_end_time,geocent_end_time_ns
sim_inspiral:simulation_id:2186,7.826273,1.430768,-0.2016746,-0.3375799,0.0551502,0.02731845,-0.008426071,-0.005838736,408.5758,2.045085,1.832533,2.117903,2.889736,-0.6002592,1356217668,359664972
sim_inspiral:simulation_id:2233,9.480663,1.398978,-0.2576058,0.2332655,0.1607046,-0.00176909,0.01848699,-0.009175888,492.539,1.221256,4.386885,1.015869,4.522227,-1.206233,1356852699,10779107
sim_inspiral:simulation_id:2241,7.707617,1.146991,-0.03120761,0.3035674,0.2996545,0.01539789,-0.0146291,-0.03327196,344.9157,0.8816807,5.432979,3.383237,2.278052,0.5650632,1356947484,55195648
sim_inspiral:simulation_id:2245,6.529246,1.372431,-0.1568258,0.0778741,-0.08906079,-0.003379531,0.005149622,-0.003439111,485.8332,0.314684,3.077955,0.9276553,3.848885,-0.3385225,1357016005,977796873
sim_inspiral:simulation_id:2277,8.769571,1.194432,0.3878793,-0.2292023,-0.02951867,0.01451125,-0.01848431,-0.01734172,518.2617,0.3259024,3.291957,0.7049876,2.327822,-0.306584,1357247212,294463075
sim_inspiral:simulation_id:2283,9.148001,1.405471,-0.160484,-0.1070543,-0.3389317,-0.006164077,-0.003034103,0.008420853,144.7572,1.503582,4.462486,3.617774,0.2927358,-1.359088,1357301923,830865210
sim_inspiral:simulation_id:2318,7.453518,1.14956,0.05341732,-0.04219614,-0.08032371,-0.007190022,0.007919457,0.02838858,292.7509,2.817986,1.957988,0.07963833,3.763605,0.7654914,1357738037,442172266
sim_inspiral:simulation_id:2334,9.472025,1.292264,0.05794504,-0.2212582,0.3572705,0.03302472,-0.008333996,-0.009049821,596.1323,2.235505,1.246224,0.9733881,3.942056,0.4834035,1357829348,17350696
sim_inspiral:simulation_id:2347,8.775019,1.436876,-0.05849519,-0.04783487,0.02004259,0.001455073,0.003172146,-0.001554854,501.1548,0.8898711,2.907934,1.704012,5.026249,-0.5163826,1357970333,78843922
sim_inspiral:simulation_id:2352,8.05425,1.537856,0.2615934,-0.004901213,-0.2120261,-0.0007522066,-0.004181682,-0.01294615,201.941,0.7276582,0.8892798,5.269988,4.504845,0.5953569,1358007568,929227623
sim_inspiral:simulation_id:2366,8.590583,1.513841,-0.07906856,-0.0472686,-0.1760578,-0.008549585,0.00650655,-0.003216157,306.2173,2.407487,0.2948685,1.527171,3.900399,1.15368,1358169145,674364731
sim_inspiral:simulation_id:2368,7.38447,1.325683,0.05890876,-0.04839722,-0.2858226,-0.004608887,-0.008335402,0.02615421,217.6682,0.9592012,1.015385,5.259503,4.297889,-0.761555,1358203040,257091088
sim_inspiral:simulation_id:2377,8.935347,1.281948,0.1640336,0.1238834,0.08344494,0.0003194124,0.04862539,0.01104596,349.3478,3.03549,2.595112,1.89554,5.351242,-0.2564463,1358309300,282785331
sim_inspiral:simulation_id:2407,8.791788,1.324974,-0.4583362,-0.1120139,0.02588518,-0.02450259,-0.02001953,0.02445541,343.5858,2.471645,0.2346636,0.8432991,2.396893,-0.1802353,1358766625,917732378
